Description,Co-ordinates,lat,lon
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Wharfs Landing Park,"(-37.82210994675337, 144.93666205920204)",-37.82210994675337,144.93666205920204
Drinking Fountain - Drinking Fountain - Monument Style Type 2 - Hardy Reserve,"(-37.78559620252012, 144.96932282550418)",-37.78559620252012,144.96932282550418
Drinking Fountain - Leaf Type - Dog Bowl  - Kings Domain,"(-37.82424533734149, 144.97698410547824)",-37.82424533734149,144.97698410547824
Drinking Fountain - Leaf Type - Dog Bowl  - Flagstaff Gardens,"(-37.81010993947886, 144.95363625566395)",-37.81010993947886,144.95363625566395
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Flagstaff Gardens,"(-37.81043106640399, 144.95558395492208)",-37.81043106640399,144.95558395492208
Drinking fountain - Historic or Heritage fountains - University Square,"(-37.8020146095429, 144.9605723948678)",-37.8020146095429,144.9605723948678
Drinking Fountain - Leaf Type - Dog Bowl  - University Square,"(-37.80089398503696, 144.96074870882546)",-37.80089398503696,144.96074870882546
Drinking Fountain - Leaf Type - Dog Bowl  - JJ Holland Park,"(-37.79841970759794, 144.92421993826414)",-37.79841970759794,144.92421993826414
Drinking Fountain - Leaf Type - Dog Bowl  - Princes Park,"(-37.7914165845557, 144.96125460876374)",-37.7914165845557,144.96125460876374
Drinking Fountain - Leaf Type - Dog Bowl  - Princes Park,"(-37.778630360270995, 144.96168045209797)",-37.778630360270995,144.96168045209797
Drinking Fountain - Leaf Type - Dog Bowl  - Royal Park,"(-37.79028778877907, 144.94509842701018)",-37.79028778877907,144.94509842701018
Drinking Fountain - Treated Timber Drinking Fountain - Stock Bridge (KENSINGTON),"(-37.79016688522425, 144.92406824328089)",-37.79016688522425,144.92406824328089
Drinking Fountain - Leaf Type - Dog Bowl  - Alexandra Gardens,"(-37.821103585220605, 144.97249534473832)",-37.821103585220605,144.97249534473832
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Princes Park,"(-37.7881098191695, 144.95949172029708)",-37.7881098191695,144.95949172029708
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82186723614085, 144.9572554993872)",-37.82186723614085,144.9572554993872
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81437281760768, 144.9443629296941)",-37.81437281760768,144.9443629296941
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.830658429920206, 144.97605393970306)",-37.830658429920206,144.97605393970306
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Royal Park,"(-37.77732383776788, 144.9531895231545)",-37.77732383776788,144.9531895231545
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82435043745128, 144.9771113193355)",-37.82435043745128,144.9771113193355
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82469655350015, 144.9721174141578)",-37.82469655350015,144.9721174141578
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82317712092532, 144.94186784766944)",-37.82317712092532,144.94186784766944
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Queen Victoria Gardens,"(-37.82168006484173, 144.9700370336942)",-37.82168006484173,144.9700370336942
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Boyd Community Hub,"(-37.82605853691661, 144.9615312833258)",-37.82605853691661,144.9615312833258
Drinking fountain - Historic or Heritage Drinking Fountains - Alexandra Park,"(-37.827087271632976, 144.98504460154422)",-37.827087271632976,144.98504460154422
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Queen Victoria Gardens,"(-37.8212095645359, 144.9694728091101)",-37.8212095645359,144.9694728091101
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Hub@Docklands,"(-37.819734518071364, 144.9475652363716)",-37.819734518071364,144.9475652363716
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Princes Park,"(-37.78462350014393, 144.96015661193692)",-37.78462350014393,144.96015661193692
