property_number,venue_name,venue_address,space_type,website,lat,lon,location
609454,Alumbra,"Shed 9, Victoria Harbour, Docklands, 3008",Nightclub,http://www.alumbra.com.au/,-37.81656881500009,144.94383499834845,POINT (144.943834998348 -37.816568815)
506429,Sofitel Melbourne On Collins,"Sofitel Hotel, Collins Tower, 25 Collins Street, Melbourne, 3000",Accommodation,http://www.sofitel-melbourne.com.au/,-37.81376526700552,144.9729234875978,POINT (144.972923487598 -37.813765267006)
646930,Bar Nacional,"Tenancy 47, Ground, 727 Collins Street, Docklands, 3008",Bar,http://www.barnacional.com.au/,-37.82046725912159,144.94982290293075,POINT (144.949822902931 -37.820467259122)
681513,Bomba Tapas Bar and Rooftop,"Ground & Rooftop, 103 Lonsdale Street, Melbourne, 3000",Bar,https://bombabar.com.au/,-37.81038063462455,144.9692357633733,POINT (144.969235763373 -37.810380634625)
565482,Melbourne Museum,"11 Nicholson Street, Carlton, 3053",Museum,https://museumsvictoria.com.au/melbournemuseum/,-37.80372847051283,144.97373148063383,POINT (144.973731480634 -37.803728470513)
619040,Fad Gallery,"Gnd & Flr1, 14 Corrs Lane, Melbourne, 3000",Bar,http://fadgallery.com.au/,-37.811235398938436,144.9683349834688,POINT (144.968334983469 -37.811235398938)
607972,Penny Blue,"2 Driver Lane, Melbourne, 3000",Bar,https://pennyblue.com.au/,-37.81282106809502,144.96298868379125,POINT (144.962988683791 -37.812821068095)
642863,"Club 23, Crown Melbourne","Restaurant Crown Towers Hotel, Crown Casino, 8 Whiteman Street, Southbank, 3006",Nightclub,http://www.level3atcrown.com.au/,-37.82243272720292,144.9601748810828,POINT (144.960174881083 -37.822432727203)
627193,Aria Bar & Lounge,"Podium, 1 Southgate Avenue, Southbank, 3006",Bar,http://www.sebeldocklands.com.au/en/meeting-rooms/aria-bar-and-events.html,-37.82047861515797,144.96589092458512,POINT (144.965890924585 -37.820478615158)
102955,Festival Hall,"300 Dudley Street, West Melbourne, 3003",Performance space,http://www.festivalhall.com.au/,-37.811437769852866,144.9461726133059,POINT (144.946172613306 -37.811437769853)
567595,Vodka Temple,"Ground, 160-162 Lygon Street, Carlton, 3053",Nightclub,https://www.vodkatemple.com.au/,-37.80345202353251,144.9666383380664,POINT (144.966638338066 -37.803452023533)
635138,Union Electric,"13 Heffernan Lane, Melbourne, 3000",Bar,http://unionelectric.com.au/,-37.811773258347344,144.9666888906996,POINT (144.9666888907 -37.811773258347)
109721,Three Crowns Hotel,"361-365 Victoria Street, West Melbourne, 3003",Hotel,https://www.threecrownshotel.com.au/,-37.8052879130126,144.9494898220434,POINT (144.949489822043 -37.805287913013)
615781,Charlie's Bar,"Basement, 67 Hardware Lane, Melbourne, 3000",,,-37.81325334536212,144.9610159338816,POINT (144.961015933882 -37.813253345362)
632394,Troika Bar,"Ground, 106 Little Lonsdale Street, Melbourne, 3000",Bar,http://troikabar.com/,-37.809251212232525,144.96862686025293,POINT (144.968626860253 -37.809251212233)
527245,Live Performance Australia,"Level 1, 15 Queen Street, Melbourne, 3000",Multi-use,http://www.liveperformance.com.au/,-37.818408350668456,144.96207799460493,POINT (144.962077994605 -37.818408350668)
108118,Queen Victoria Market,"65-159 Victoria Street, Melbourne, 3000",Performance space,http://qvm.com.au/,-37.806188527484565,144.9575348670326,POINT (144.957534867033 -37.806188527485)
547502,Platform One,"Vault 7-8, 375-377 Flinders Street, Melbourne, 3000",Nightclub,http://www.platformone.com.au/,-37.81914827560788,144.96232307486835,POINT (144.962323074868 -37.819148275608)
594101,Mesa Verde,"Unit S13, Level 6, 252 Swanston Street, Melbourne, 3000",Bar,http://www.mesaverde.net.au/,-37.81204087370973,144.96505253454222,POINT (144.965052534542 -37.81204087371)
105675,Seamstress Restaurant and Bar,"113 Lonsdale Street, Melbourne, 3000",Bar,http://www.seamstress.com.au/prod/,-37.81046224853603,144.96895746044424,POINT (144.968957460444 -37.810462248536)
103626,European Bier Café,"120 Exhibition Street, Melbourne, 3000",bar,http://europeanbiercafe.com.au/,-37.81285332078208,144.97110417388942,POINT (144.971104173889 -37.812853320782)
661406,Arbory Bar and Eatery,"2 Flinders Walk, Melbourne, 3000",Bar,http://arbory.com.au/,-37.81890972470938,144.96679263372738,POINT (144.966792633727 -37.818909724709)
631757,Touche Hombre,"237 Lonsdale Street, Melbourne, 3000",Bar,https://www.touchehombre.com.au/,-37.81150165387338,144.9654399624449,POINT (144.965439962445 -37.811501653873)
515538,Paris Cat Jazz Club,"4-6 Goldie Place, Melbourne, 3000",Venue,http://pariscat.com.au/,-37.813558526665716,144.96075407581748,POINT (144.960754075817 -37.813558526666)
567241,Clique Bar,"Level 1, 26 King Street, Melbourne, 3000",Nightclub,http://www.cliquebar.com.au/,-37.81961099011078,144.95739295718033,POINT (144.95739295718 -37.819610990111)
605758,Bass Lounge,"Suite 12, Basement, 108 Bourke Street, Melbourne, 3000",,,-37.8121190907495,144.9699347659403,POINT (144.96993476594 -37.812119090749)
619895,The Black Rabbit,"Basement, 85 Queen Street, Melbourne, 3000",Nightclub,https://www.blackrabbit.melbourne/,-37.816506994449085,144.96120225838388,POINT (144.961202258384 -37.816506994449)
640957,Man Tong Kitchen,"Shop 46B, Ground, 8 Whiteman Street, Southbank, 3006",Bar,http://www.mantongkitchen.com.au/,-37.82237743370056,144.96013664101957,POINT (144.96013664102 -37.822377433701)
513494,Randy Dragon,"Unit 1, Basement, 313-315 Flinders Lane, Melbourne, 3000",Bar,http://www.randydragon.com.au/,-37.817456737067324,144.96378913395765,POINT (144.963789133958 -37.817456737067)
109417,Regent Theatre,"191-197 Collins Street, Melbourne, 3000",Theatre,https://marrinergroup.com.au/venues/regent-theatre,-37.81534585273267,144.9675380003948,POINT (144.967538000395 -37.815345852733)
540197,Therapy Nightclub  at Crown,"Shop 52, Level 2, 8 Whiteman Street, Southbank, 3006",Nightclub,http://www.level3atcrown.com.au/,-37.82381122217111,144.95741449297574,POINT (144.957414492976 -37.823811222171)
565950,The Last Chance Rock & Roll Bar,"238 Victoria Street, Melbourne, 3000",Venue,https://www.facebook.com/thelastchancerockandrollbar/,-37.80601960940114,144.95855233201263,POINT (144.958552332013 -37.806019609401)
542429,AIM (Australian Institute of Music),"Gnd & Levels 1 -3, 120 King Street, Melbourne, 3000",Recording,http://www.aim.edu.au/,-37.81726158549317,144.95622460343756,POINT (144.956224603438 -37.817261585493)
110148,The Australian Club,"110 William Street, Melbourne, 3000",Venue,https://theaustralianclub.com.au/,-37.816671478507224,144.95884607575877,POINT (144.958846075759 -37.816671478507)
102154,St Michael's Uniting Church,"St Michaels Uniting Church, 122-136 Collins Street, Melbourne, 3000",Church,http://stmichaels.org.au/,-37.81452691849391,144.96935205119595,POINT (144.969352051196 -37.814526918494)
106505,The Kelvin Club,"Kelvin Club, 14-30 Melbourne Place, Melbourne, 3000",,,-37.8132350970678,144.96883724816743,POINT (144.968837248167 -37.813235097068)
105749,QV Melbourne,"278-300 Swanston Street, Melbourne, 3000",Bar,http://www.qv.com.au,-37.81103540168751,144.96467176356475,POINT (144.964671763565 -37.811035401688)
101236,Angel Music Bar,"12 Bourke Street, Melbourne, 3000",Bar,,-37.8113496150961,144.97256750232202,POINT (144.972567502322 -37.811349615096)
508230,The Athenaeum,"Level 1, 188 Collins Street, Melbourne, 3000",,,-37.81509905764948,144.96746914835032,POINT (144.96746914835 -37.815099057649)
