Date,Number of Contacts,Source,Year,Month
01/12/2018,54,Inbox email enquiries,2018,December
01/12/2018,29201,City Ambassador Program,2018,December
01/12/2018,21661,Melbourne Visitor Booth,2018,December
01/12/2018,18872,Fitzroy Gardens Visitor Centre,2018,December
01/12/2018,12075,Queen Victoria Market Visitor Hub,2018,December
01/12/2018,5030,Cooks' Cottage,2018,December
01/12/2018,39495,Melbourne Visitor Hub at Town Hall,2018,December
01/12/2018,171,Melbourne Greeter Service,2018,December
01/12/2018,10797,Cruise Ship Program,2018,December
01/09/2015,9028,Melbourne Visitor Shuttle,2015,September
01/03/2018,6633,Cruise Ship Program,2018,March
01/05/2016,2921,Melbourne Visitor Shuttle,2016,May
01/09/2015,23265,City Ambassador Program,2015,September
01/12/2014,251,Melbourne Greeter Service,2014,December
01/10/2018,21202,Fitzroy Gardens Visitor Centre,2018,October
01/04/2016,7070,Cooks' Cottage,2016,April
01/05/2017,19084,Melbourne Visitor Booth,2017,May
01/07/2015,68793,Melbourne Visitor Centre,2015,July
01/09/2018,13598,Melbourne Visitor Hub at Town Hall,2018,September
01/05/2018,40881,Melbourne Visitor Centre,2018,May
01/04/2016,66727,Melbourne Visitor Centre,2016,April
01/02/2016,91020,Melbourne Visitor Centre,2016,February
01/06/2016,2382,Melbourne Visitor Shuttle,2016,June
01/02/2018,21358,City Ambassador Program,2018,February
01/11/2014,25151,City Ambassador Program,2014,November
01/11/2017,21212,City Ambassador Program,2017,November
01/11/2018,68,Inbox email enquiries,2018,November
01/04/2017,1605,Cruise Ship Program,2017,April
01/04/2018,201,Melbourne Greeter Service,2018,April
01/10/2018,212,Melbourne Greeter Service,2018,October
01/03/2017,3623,Melbourne Visitor Shuttle,2017,March
01/08/2014,12067,Melbourne Visitor Shuttle,2014,August
01/02/2017,9049,Cruise Ship Program,2017,February
01/04/2018,19094,Fitzroy Gardens Visitor Centre,2018,April
01/12/2017,27122,Melbourne Visitor Booth,2017,December
01/10/2016,21506,Fitzroy Gardens Visitor Centre,2016,October
01/09/2018,15340,Melbourne Visitor Booth,2018,September
01/06/2015,4214,Melbourne Visitor Shuttle,2015,June
01/02/2015,175,Inbox email Inquiries,2015,February
01/09/2015,26868,Melbourne Visitor Booth,2015,September
01/11/2017,5951,Cooks' Cottage,2017,November
01/09/2017,50435,Melbourne Visitor Centre,2017,September
01/12/2017,75,Inbox email enquiries,2017,December
01/06/2015,16071,Fitzroy Gardens Visitor Centre,2015,June
01/09/2018,4668,Cooks' Cottage,2018,September
01/07/2018,17624,Melbourne Visitor Booth,2018,July
01/06/2018,36549,Melbourne Visitor Centre,2018,June
01/02/2018,21488,Fitzroy Gardens Visitor Centre,2018,February
01/09/2017,0,Melbourne Visitor Shuttle,2017,September
01/11/2018,17179,Melbourne Visitor Booth,2018,November
01/06/2018,0,Cruise Ship Program,2018,June
01/11/2016,22575,Fitzroy Gardens Visitor Centre,2016,November
01/09/2018,16460,Fitzroy Gardens Visitor Centre,2018,September
01/07/2016,65328,Melbourne Visitor Centre,2016,July
01/09/2016,20714,Fitzroy Gardens Visitor Centre,2016,September
01/06/2018,4687,Cooks' Cottage,2018,June
01/05/2017,2034,Melbourne Visitor Shuttle,2017,May
01/07/2017,21837,City Ambassador Program,2017,July
01/03/2017,6042,Cruise Ship Program,2017,March
01/10/2016,27026,City Ambassador Program,2016,October
01/12/2017,0,Melbourne Visitor Shuttle,2017,December
01/07/2017,104,Melbourne Greeter Service,2017,July
01/07/2018,169,Melbourne Greeter Service,2018,July
01/05/2016,48482,Melbourne Visitor Centre,2016,May
01/08/2016,17470,City Ambassador Program,2016,August
01/05/2017,942,Cruise Ship Program,2017,May
01/07/2016,26828,Fitzroy Gardens Visitor Centre,2016,July
01/08/2018,14989,Melbourne Visitor Booth,2018,August
01/08/2016,157,Inbox email enquiries,2016,August
01/08/2014,32684,Melbourne Visitor Booth,2014,August
01/09/2015,18422,Fitzroy Gardens Visitor Centre,2015,September
01/01/2016,6373,Cruise Ship Program,2016,January
01/10/2018,25282,City Ambassador Program,2018,October
01/05/2015,815,Cruise Ship Program,2015,May
01/12/2015,6147,Cooks' Cottage,2015,December
01/07/2015,29454,City Ambassador Program,2015,July
01/01/2016,95573,Melbourne Visitor Centre,2016,January
01/06/2017,19727,City Ambassador Program,2017,June
01/09/2017,18944,City Ambassador Program,2017,September
01/01/2017,4720,Melbourne Visitor Shuttle,2017,January
01/03/2016,4783,Melbourne Visitor Shuttle,2016,March
01/06/2015,54468,Melbourne Visitor Centre,2015,June
01/08/2018,78,Inbox email enquiries,2018,August
01/09/2016,188,Melbourne Greeter Service,2016,September
01/07/2014,36939,Melbourne Visitor Booth,2014,July
01/12/2015,20561,Fitzroy Gardens Visitor Centre,2015,December
01/02/2018,7488,Cruise Ship Program,2018,February
01/01/2015,21213,Fitzroy Gardens Visitor Centre,2015,January
01/03/2015,33376,Melbourne Visitor Booth,2015,March
01/05/2018,161,Melbourne Greeter Service,2018,May
01/02/2016,9598,Cooks' Cottage,2016,February
01/12/2016,6237,Cooks' Cottage,2016,December
01/09/2016,56170,Melbourne Visitor Centre,2016,September
01/02/2016,10593,Cruise Ship Program,2016,February
01/12/2015,269,Melbourne Greeter Service,2015,December
01/05/2017,18702,Fitzroy Gardens Visitor Centre,2017,May
01/05/2015,23069,City Ambassador Program,2015,May
01/01/2015,90272,Melbourne Visitor Centre,2015,January
01/07/2017,1993,Melbourne Visitor Shuttle,2017,July
01/07/2014,0,Cruise Ship Program,2014,July
01/05/2018,14235,Fitzroy Gardens Visitor Centre,2018,May
01/09/2016,2890,Melbourne Visitor Shuttle,2016,September
01/01/2017,7830,Cooks' Cottage,2017,January
01/10/2016,7005,Cruise Ship Program,2016,October
01/12/2015,37235,Melbourne Visitor Booth,2015,December
01/08/2015,21752,Fitzroy Gardens Visitor Centre,2015,August
01/05/2017,4508,Cooks' Cottage,2017,May
01/11/2017,66113,Melbourne Visitor Centre,2017,November
01/07/2014,9186,Cooks' Cottage,2014,July
01/06/2017,0,Cruise Ship Program,2017,June
01/12/2017,21163,City Ambassador Program,2017,December
01/01/2016,8043,Cooks' Cottage,2016,January
01/05/2016,5595,Cooks' Cottage,2016,May
01/05/2016,17555,Fitzroy Gardens Visitor Centre,2016,May
01/11/2014,0,Fitzroy Gardens Visitor Centre,2014,November
01/03/2016,81945,Melbourne Visitor Centre,2016,March
01/03/2016,8152,Cruise Ship Program,2016,March
01/12/2014,18179,Fitzroy Gardens Visitor Centre,2014,December
01/04/2018,80,Inbox email enquiries,2018,April
01/08/2017,117,Inbox email enquiries,2017,August
01/12/2016,278,Melbourne Greeter Service,2016,December
01/02/2015,31072,Melbourne Visitor Booth,2015,February
01/08/2015,5018,Cooks' Cottage,2015,August
01/02/2017,261,Melbourne Greeter Service,2017,February
01/01/2017,26771,Fitzroy Gardens Visitor Centre,2017,January
01/07/2016,211,Melbourne Greeter Service,2016,July
01/06/2018,14547,Melbourne Visitor Booth,2018,June
01/08/2014,128,Inbox email Inquiries,2014,August
01/09/2014,62452,Melbourne Visitor Centre,2014,September
01/01/2017,29060,City Ambassador Program,2017,January
01/04/2016,3557,Melbourne Visitor Shuttle,2016,April
01/03/2015,8069,Melbourne Visitor Shuttle,2015,March
01/06/2017,5562,Cooks' Cottage,2017,June
01/04/2017,25031,Fitzroy Gardens Visitor Centre,2017,April
