Name,Long Name,Latitude,Longitude,Type,Status
MEL-0001,MEL-0001-DOCKLANDS DR (SOUTH),-37.814671,144.938586,Fibre,FUTURE
MEL-0008,MEL-0008-VICTOR HABOUR PROM,-37.815686,144.939954,Mesh,FUTURE
MEL-0051,MEL-0051-ELIZABETH ST & BOURKE ST,-37.814409,144.963048,Fibre,UP
MEL-0083,MEL-0083-179 Collins Street,-37.815209,144.967911,Fibre,UP
MEL-0203,MEL-0203-QUEENS BRIDGE,-37.821666,144.961152,Mesh,UP
MEL-0246,MEL-0246-KING ST,-37.811853,144.953493,Mesh,UP
MEL-0283,MEL-0283-201 Russell Street,-37.811786,144.967491,Fibre,UP
MEL-0301,MEL-0301-S/E Corner Lonsdale and Exhibition Streets,-37.810176,144.969844,Fibre,FUTURE
MEL-0372,MEL-0372-COLLINS ST,-37.818856,144.954272,Mesh,UP
MEL-0377,MEL-0377-DOCKLANDS DR (NORTH),-37.814173,144.938991,Mesh,FUTURE
MEL-0403,MEL-0403-LA TROBE ST,-37.812228,144.954318,Fibre,UP
MEL-0454,MEL-0454-SE  corner of Swanston St and Pelham St,-37.8026559,144.963798,Mesh,UP
MEL-0726,MEL-0726-EXHIBITION ST,-37.808624,144.968855,Fibre,FUTURE
MEL-1002,MEL-1002-SW Corner Flinders Lane & Elizabeth Street ,-37.8153517,144.963528,Fibre,UP
MEL-1004,MEL-1004-40 -50 Queen St,-37.8176755,144.962072,Fibre,UP
MEL-1009,MEL-1009-233 Collins Street ,-37.8157655,144.965997,Fibre,FUTURE
MEL-1012,MEL-1012-Oustide 1 Collins Street ,-37.8134902,144.973724,Fibre,FUTURE
MEL-1023,MEL-1023-Opposite 48 Nicholson Street ,-37.8055503,144.973469,Fibre,UP
BD-01-ArtGallery,BD-01-ArtGallery,-36.757711,144.276886,FIBRE,UP
BD-02-RosalindCafe,BD-02-RosalindCafe,-36.757496,144.277176,FIBRE,UP
BD-03-Goldendragon01,BD-03-GoldenDragonFoyer,-36.755124,144.282438,MBE,UP
BD-04-Goldendragon02,BD-04-GoldenDragon- Outdoor Entrance,-36.754979,144.282467,MBE,UP
BD-05-Tomflood01,BD-05-Tomflood01,-36.753403,144.280571,DSL,UP
BD-06-Tomflood02,BD-06-Tomflood02,-36.753351,144.280638,DSL,UP
BD-07-BarnardSt,BD-07-BarnardSt,-36.75134,144.281142,DSL,UP
BD-08-QueenElizabethOval,BD-08-QueenElizabethOval,-36.756008,144.2751,DSL,UP
BD-09-AquaticCentre,BD-09-AquaticCentre,-36.754578,144.276266,DSL,UP
BD-13-RailwayStation01,BD-13-RailwayStation01,-36.765756,144.282784,FIBRE,UP
BD-14-RailwayStation02,BD-14-RailwayStation02,-36.765562,144.282943,FIBRE,UP
BD-15-RailwayStation03,BD-15-RailwayStation03,-36.765777,144.282312,FIBRE,UP
BD-16-RSLRearRoof_RAP,BD-16-RSLRearRoof_RAP,-36.758456,144.2791,FIBRE,UP
BD-17-RSLEastSide,BD-17-RSLEastSide,-36.758558,144.279303,FIBRE,UP
BD-18-RSLWestSide,BD-18-RSLWestSide,-36.758714,144.279103,FIBRE,UP
BD-20-CnrBullHigh,BD-20-CnrBullHigh,-36.757783,144.281317,FIBRE,UP
BD-21-TaxiRank,BD-21-TaxiRank,-36.756847,144.282031,FIBRE,UP
BD-22-CnrHargreavesMundy,BD-22-CnrHargreavesMundy,-36.757639,144.283333,FIBRE,UP
BD-23-TownHall,BD-23-TownHall,-36.758533,144.282397,FIBRE,UP
BD-24-TownHall02,BD-24-TownHall02,-36.75883,144.281994,MESH,UP
BD-25-JaaraBuilding,BD-25-JaaraBuilding,-36.758753,144.283923,FIBRE,UP
BD-26-RoundQueenWilliam,BD-26-RoundQueenWilliam,-36.760197,144.281943,FIBRE,UP
BD-27-QueenStreet,BD-27-QueenStreet,-36.760681,144.281349,MESH,UP
BD-28-LyttletonTerrace01,BD-28-LyttletonTerrace01,-36.761008,144.281864,MESH,UP
BD-29-LyttletonTerrace02,BD-29-LyttletonTerrace02,-36.761877,144.281678,MESH,UP
BD-31-HargreavesMitchell,BD-31-HargreavesMitchell,-36.760444,144.279639,FIBRE,UP
BD-32-HargreavesMid_RAP,BD-32-HargreavesMid_RAP,-36.7599,144.28038,FIBRE,UP
BD-33-HargreavesWilliamson,BD-33-HargreavesWilliamson,-36.759551,144.281052,MESH,UP
BD-34-HargreavesEdwards,BD-34-HargreavesEdwards,-36.76182,144.277786,MESH,UP
BD-35-CnrQueenEdwards,BD-35-CnrQueenEdwards,-36.762673,144.278486,FIBRE,UP
BD-36-CharingCross,BD-36-CharingCross,-36.760074,144.277899,FIBRE,UP
BD-37-BathLane,BD-37-BathLane,-36.760639,144.278291,FIBRE,UP
BD-38-CnrHighView,BD-38-CnrHighView,-36.759152,144.278165,MESH,UP
BD-39-RuralFinanceBldg,BD-39-RuralFinanceBldg,-36.758309,144.276737,FIBRE,UP
BD-40-ArtGalleryIndoor,BD-40-ArtGalleryIndoor,-36.757465,144.276899,FIBRE,UP
BD-42-InformationBuilding,BD-42-InformationBuilding,-36.757985,144.280151,FIBRE,UP
BD-43-Tomflood03,BD-43-Tomflood03,-36.753281,144.281297,DSL,UP
BD-44-CentralDeborahGoldMine,BD-44-CentralDeborahGoldMine,-36.765075,144.269866,DSL,UP
BD-45-CnrQueenMitchell,BD-45-CnrQueenMitchell,-36.761452,144.280305,FIBRE,UP
BD-46-BullStreet,BD-46-BullStreet,-36.75828,144.281862,MESH,UP
BD-47-QueenStreet,BD-47-QueenStreet,-36.761998,144.27927,MESH,UP
BD-48-EdwardStreet,BD-48-EdwardStreet,-36.762152,144.278132,MESH,UP
BD-49-CnrKingEdward,BD-49-CnrKingEdward,-36.763203,144.27929,MESH,UP
BD-50-ShamrockHotel,BD-50-ShamrockHotel,-36.758581,144.280343,MESH,UP
BR-00-QueenVicSq_e_RAP,BR-00-QueenVicSq_e_RAP,-37.5619598,143.8567864,DSL+,UP
BR-00-QueenVicSqW,BR-00-QueenVicSqW,-37.5619333,143.8565615,DSL+,UP
BR-01-HFC-E,BR-01-526Wendouree_RAP,-37.543451,143.827397,HFC,UP
BR-02-HFC-E,BR-02-476Wendouree,-37.543356,143.831615,HFC,UP
BR-03-HFC-I,BR-03-448Wendouree,-37.543712,143.834402,HFC,UP
BR-04-HFC-I,BR-04-436Wendouree,-37.543872,143.83569,HFC,UP
BR-05-HFC-E,BR-05-404Wendouree,-37.544202,143.838912,HFC,UP
BR-07-HFC-I,BR-07-328Wendouree,-37.544872,143.841374,HFC,UP
BR-08-HFC-E,BR-08-306Wendouree,-37.545734,143.843907,HFC,UP
BR-09-HFC-I,BR-09-218Wendouree,-37.547162,143.844799,HFC,UP
BR-11-HFC-E,BR-11-204Wendouree,-37.549121,143.845216,HFC,UP
BR-12-HFC-E,BR-12-CnrWendoureeDevon,-37.551437,143.845023,HFC,UP
BR-13-HFC-I,BR-13-108Wendouree,-37.552402,143.84484,HFC,UP
BR-14-HFC-E,BR-14-241Mill,-37.553797,143.843504,HFC,UP
BR-15-HFC-I,BR-15-CnrWendoureeVictoria,-37.55491,143.842647,HFC,UP
BR-17-HFC-I,BR-17-13Wendouree,-37.556049,143.840602,HFC,UP
BR-18-HFC-E,BR-18-YatchClub,-37.555721,143.838876,HFC,UP
BR-19-HFC-E,BR-19-SaxonHouse_RAP,-37.55707,143.838382,HFC,UP
BR-20-HFC-I,BR-20-103Wendouree,-37.556605,143.836475,HFC,UP
BR-21-HFC-I,BR-21-CnrParkerWendouree,-37.556763,143.83382,HFC,UP
BR-22-HFC-I,BR-22-143Wendouree,-37.556555,143.832128,HFC,UP
BR-23-HFC-E,BR-23-CnrWendoureeDawson,-37.556756,143.829331,HFC,UP
BR-24-HFC-E,BR-24-301Wendouree,-37.555475,143.822377,HFC,UP
BR-25-HFC-E,BR-25-309Wendouree_RAP,-37.554873,143.822216,HFC,UP
BR-26-HFC-E,BR-26-315Wendouree_RAP,-37.553557,143.82212,HFC,UP
BR-27-HFC-I,BR-27-7Carlton,-37.553397,143.820913,HFC,UP
BR-28-HFC-I,BR-28-CnrCarltonGillies_RAP,-37.55324,143.81981,HFC,UP
BR-29-HFC-I,BR-29-14Gillies,-37.554531,143.819362,HFC,UP
BR-30-HFC-E,BR-30-Lydiard,-37.557779,143.858587,HFC,UP
BR-31-HFC-I,BR-31-MairCivicHall,-37.559417,143.855937,HFC,UP
BR-32-HFC-I,BR-32-CnrMairArmstrong,-37.559562,143.856975,HFC,UP
BR-33-HFC-E,BR-33-CnrMairLydiard,-37.559655,143.858335,HFC,UP
BR-34-HFC-I,BR-34-CnrMairCamp_RAP,-37.559772,143.85909,HFC,UP
BR-35-HFC-I,BR-35-24ArmstrongN,-37.560596,143.856636,HFC,UP
BR-36-HFC-E,BR-36-CnrLyonsSturt,-37.560979,143.852029,HFC,UP
BR-37-HFC-I,BR-37-2Dawson,-37.560915,143.853552,HFC,UP
BR-38-HFC-I,BR-38-CnrDovetonPencilmark_RAP,-37.561064,143.8548,HFC,UP
