name,female,male,wheelchair,operator,baby_facil,lat,lon
Public Toilet - Toilet 140 - Queensberry Street (Opposite 286 Queensberry Street),no,yes,no,City of Melbourne,no,-37.8039946349673,144.95909066756946
Public Toilet - Toilet 106 - Kings Domain Government House Drive,yes,yes,no,City of Melbourne,no,-37.82691574923448,144.9746477838788
Public Toilet - Queen Victoria Market (153 Victoria Street),yes,yes,no,City of Melbourne,no,-37.806121499077804,144.95653844268273
"Public Toilet - Victoria Harbour, Shed 3 (North Wharf Road)",no,yes,no,City of Melbourne,no,-37.819795975740334,144.93766540530564
Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),yes,no,no,City of Melbourne,no,-37.81383779217631,144.96309721024045
Public Toilet - Toilet 142 - Queensberry Street (Adjacent 179 Queensberry Street),no,yes,no,City of Melbourne,no,-37.80463970714722,144.96285021945613
Public Toilet - Toilet 128 - Princes Park South Playground (Princes Park Drive),yes,yes,yes,City of Melbourne,no,-37.785598387452595,144.9630353603256
Public Toilet - Toilet 154 - Flagstaff Gardens (cnr William & Dudley),yes,yes,yes,City of Melbourne,no,-37.808913242351316,144.95504018635694
"Public Toilet - Victoria Harbour, Shed 2 (North Wharf Road)",yes,yes,yes,City of Melbourne,no,-37.818924455699296,144.9342385117904
Public Toilet - Toilet 14 - Flinders Street (27 Flinders Street),no,yes,no,City of Melbourne,no,-37.81598982599987,144.97279836576897
Public Toilet - Toilet 107 - Alexandra Park,yes,yes,yes,City of Melbourne,no,-37.82764304616528,144.9818116607595
Public Toilet - Toilet 169 - Batman Park (2A Spencer Street),yes,yes,yes,City of Melbourne,no,-37.821720681669966,144.95557809313962
"Public Toilet - Saint Mangos Lane, The Palladio (New Quay)",yes,yes,yes,City of Melbourne,no,-37.81435831108069,144.94168216712015
Public Toilet - Toilet 6 - Elizabeth Street (Toilet Adjacent 200 Elizabeth Street),no,yes,no,City of Melbourne,no,-37.81343920794399,144.96292272645067
Public Toilet - Toilet 1 - Lonsdale Street (Opposite 581 Lonsdale Street),yes,yes,yes,City of Melbourne,no,-37.814345522392365,144.9551179464378
Public Toilet - Toilet 145 - Carlton Gardens South (Opposite 39 Rathdowne Street),yes,yes,yes,City of Melbourne,no,-37.80625893301874,144.9692027022002
Public Toilet - Royal Park Brens Pavilion,yes,yes,no,City of Melbourne,no,-37.78622124839705,144.9550008758734
Public Toilet - Toilet 177 - Bellair Street (Opposite 180 Bellair Street),yes,yes,yes,City of Melbourne,no,-37.79373229128235,144.9303518616331
Public Toilet - Toilet 7 - Latrobe Street (Adjacent 120 La Trobe Street),no,yes,no,City of Melbourne,no,-37.80894206847336,144.9656488455227
Public Toilet - Toilet 124 - Nicholson Street (1A Nicholson Street),no,yes,no,City of Melbourne,no,-37.80945202894246,144.97307695563703
Public Toilet - Toilet 4 - Market Street (Opposite 74 Market Street),yes,yes,yes,City of Melbourne,no,-37.81746989209639,144.96025433528794
Public Toilet - Toilet 138 - Carlton Gardens North (Opposite 199 Rathdowne Street),yes,yes,yes,City of Melbourne,no,-37.80264555498511,144.96982128721504
