,date,precipitation
0,2020/1/1,0.0
1,2020/1/10,0.0
2,2020/1/11,6.0
3,2020/1/12,0.0
4,2020/1/13,0.0
5,2020/1/14,0.0
6,2020/1/15,0.0
7,2020/1/16,8.6
8,2020/1/17,0.1
9,2020/1/18,0.0
10,2020/1/19,1.1
11,2020/1/2,0.0
12,2020/1/20,0.3
13,2020/1/21,15.9
14,2020/1/22,0.0
15,2020/1/23,8.3
16,2020/1/24,0.5
17,2020/1/25,0.0
18,2020/1/26,4.0
19,2020/1/27,0.2
20,2020/1/28,0.0
21,2020/1/29,1.3
22,2020/1/3,4.4
23,2020/1/30,14.9
24,2020/1/31,2.1
25,2020/1/4,0.3
26,2020/1/5,6.5
27,2020/1/6,3.4
28,2020/1/7,0.5
29,2020/1/8,0.0
30,2020/1/9,0.2
31,2020/10/1,10.1
32,2020/10/10,1.1
33,2020/10/11,0.3
34,2020/10/12,0.0
35,2020/10/13,0.1
36,2020/10/14,6.0
37,2020/10/15,0.1
38,2020/10/16,9.3
39,2020/10/17,4.5
40,2020/10/18,0.2
41,2020/10/19,0.9
42,2020/10/2,3.9
43,2020/10/20,0.2
44,2020/10/21,0.0
45,2020/10/22,0.0
46,2020/10/23,4.9
47,2020/10/24,12.8
48,2020/10/25,1.5
49,2020/10/26,1.4
50,2020/10/27,0.8
51,2020/10/28,0.5
52,2020/10/29,1.7
53,2020/10/3,0.1
54,2020/10/30,0.0
55,2020/10/31,0.0
56,2020/10/4,0.5
57,2020/10/5,5.7
58,2020/10/6,0.6
59,2020/10/7,2.5
60,2020/10/8,3.0
61,2020/10/9,2.6
62,2020/11/1,0.0
63,2020/11/10,3.5
64,2020/11/11,3.1
65,2020/11/12,2.4
66,2020/11/13,4.7
67,2020/11/14,1.1
68,2020/11/15,0.1
69,2020/11/16,0.2
70,2020/11/17,0.0
71,2020/11/18,0.0
72,2020/11/19,0.2
73,2020/11/2,3.3
74,2020/11/20,0.0
75,2020/11/21,0.0
76,2020/11/22,0.0
77,2020/11/23,11.0
78,2020/11/24,2.2
79,2020/11/25,0.0
80,2020/11/26,1.0
81,2020/11/27,0.0
82,2020/11/28,0.1
83,2020/11/29,1.0
84,2020/11/3,3.4
85,2020/11/30,4.6
86,2020/11/4,15.5
87,2020/11/5,4.9
88,2020/11/6,0.0
89,2020/11/7,5.8
90,2020/11/8,2.3
91,2020/11/9,2.5
92,2020/12/1,0.0
93,2020/12/10,0.3
94,2020/12/11,0.0
95,2020/12/12,0.0
96,2020/12/13,0.0
97,2020/12/14,0.1
98,2020/12/15,0.0
99,2020/12/16,0.0
100,2020/12/17,0.2
101,2020/12/18,1.8
102,2020/12/19,0.0
103,2020/12/2,4.5
104,2020/12/20,0.0
105,2020/12/21,0.0
106,2020/12/22,4.3
107,2020/12/23,1.9
108,2020/12/24,0.2
109,2020/12/25,0.0
110,2020/12/26,0.0
111,2020/12/27,0.0
112,2020/12/28,1.1
113,2020/12/29,0.0
114,2020/12/3,2.9
115,2020/12/30,0.0
116,2020/12/31,0.0
117,2020/12/4,0.0
118,2020/12/5,0.0
119,2020/12/6,0.7
120,2020/12/7,1.0
121,2020/12/8,3.4
122,2020/12/9,0.8
123,2020/2/1,0.3
124,2020/2/10,0.7
125,2020/2/11,0.0
126,2020/2/12,1.7
127,2020/2/13,1.1
128,2020/2/14,0.0
129,2020/2/15,2.1
130,2020/2/16,0.9
131,2020/2/17,0.0
132,2020/2/18,0.1
133,2020/2/19,12.8
134,2020/2/2,5.4
135,2020/2/20,0.0
136,2020/2/21,0.0
137,2020/2/22,0.1
138,2020/2/23,0.0
139,2020/2/24,1.6
140,2020/2/25,1.8
141,2020/2/26,0.0
142,2020/2/27,0.1
143,2020/2/28,0.1
144,2020/2/29,
145,2020/2/3,0.1
146,2020/2/4,0.0
147,2020/2/5,0.1
148,2020/2/6,0.7
149,2020/2/7,4.6
150,2020/2/8,0.0
151,2020/2/9,1.6
152,2020/3/1,0.0
153,2020/3/10,0.1
154,2020/3/11,0.1
155,2020/3/12,0.0
156,2020/3/13,0.1
157,2020/3/14,6.5
158,2020/3/15,0.0
159,2020/3/16,0.0
160,2020/3/17,0.0
161,2020/3/18,0.0
162,2020/3/19,0.0
163,2020/3/2,1.2
164,2020/3/20,0.0
165,2020/3/21,1.2
166,2020/3/22,1.6
167,2020/3/23,6.7
168,2020/3/24,0.9
169,2020/3/25,1.3
170,2020/3/26,0.1
171,2020/3/27,1.4
172,2020/3/28,0.0
173,2020/3/29,0.5
174,2020/3/3,0.0
175,2020/3/30,2.9
176,2020/3/31,1.0
177,2020/3/4,0.0
178,2020/3/5,19.1
179,2020/3/6,3.9
180,2020/3/7,0.7
181,2020/3/8,0.2
182,2020/3/9,1.9
183,2020/4/1,0.1
184,2020/4/10,0.9
185,2020/4/11,2.4
186,2020/4/12,4.2
187,2020/4/13,0.1
188,2020/4/14,0.3
189,2020/4/15,0.0
190,2020/4/16,0.6
191,2020/4/17,0.0
192,2020/4/18,0.1
193,2020/4/19,0.0
194,2020/4/2,8.2
195,2020/4/20,1.3
196,2020/4/21,3.1
197,2020/4/22,0.5
198,2020/4/23,0.2
199,2020/4/24,0.3
200,2020/4/25,0.9
201,2020/4/26,6.3
202,2020/4/27,1.8
203,2020/4/28,0.7
204,2020/4/29,2.2
205,2020/4/3,5.5
206,2020/4/30,12.2
207,2020/4/4,12.0
208,2020/4/5,0.0
209,2020/4/6,2.1
210,2020/4/7,0.5
211,2020/4/8,0.4
212,2020/4/9,3.1
213,2020/5/1,2.3
214,2020/5/10,3.2
215,2020/5/11,9.3
216,2020/5/12,0.4
217,2020/5/13,0.9
218,2020/5/14,2.4
219,2020/5/15,2.8
220,2020/5/16,0.0
221,2020/5/17,0.3
222,2020/5/18,0.0
223,2020/5/19,0.0
224,2020/5/2,2.3
225,2020/5/20,5.9
226,2020/5/21,5.2
227,2020/5/22,4.2
228,2020/5/23,2.3
