theme,sub_theme,feature_name,coordinates,lat,long
Art Gallery/Museum/Library,Library,The Melbourne Athenaeum Library,"-37.8148855756416, 144.967291289941",-37.8148855756416,144.967291289941
Art Gallery/Museum/Library,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,"-37.8077644149636, 144.965463853978",-37.8077644149636,144.965463853978
Art Gallery/Museum/Library,Art Gallery/Museum,Polly Woodside,"-37.8242574266145, 144.953478052064",-37.8242574266145,144.953478052064
Art Gallery/Museum/Library,Art Gallery/Museum,Australian Centre for Contemporary Art,"-37.8266045432686, 144.967252924593",-37.8266045432686,144.967252924593
Art Gallery/Museum/Library,Art Gallery/Museum,Victorian Arts Centre,"-37.8219947335768, 144.968837288153",-37.8219947335768,144.968837288153
Art Gallery/Museum/Library,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,"-37.8174831423197, 144.969899048343",-37.8174831423197,144.969899048343
Art Gallery/Museum/Library,Art Gallery/Museum,Thoroughbred Racing Gallery,"-37.8188662730911, 144.9839700954",-37.8188662730911,144.9839700954
Art Gallery/Museum/Library,Art Gallery/Museum,Fox Classic Car Collection,"-37.8213744301481, 144.948496661709",-37.8213744301481,144.948496661709
Art Gallery/Museum/Library,Art Gallery/Museum,Melbourne Museum,"-37.8035518129299, 144.971690718887",-37.8035518129299,144.971690718887
Art Gallery/Museum/Library,Public Buildings,NGV International,"-37.8230135000869, 144.969342535451",-37.8230135000869,144.969342535451
Art Gallery/Museum/Library,Art Gallery/Museum,National Sports Museum,"-37.8189544909462, 144.984669809381",-37.8189544909462,144.984669809381
Art Gallery/Museum/Library,Art Gallery/Museum,Sinclair's Cottage,"-37.8145407488014, 144.980554992725",-37.8145407488014,144.980554992725
Art Gallery/Museum/Library,Art Gallery/Museum,Victoria Police Museum,"-37.8222182774409, 144.954039975197",-37.8222182774409,144.954039975197
Art Gallery/Museum/Library,Art Gallery/Museum,Immigration Museum,"-37.8191798798062, 144.960426777129",-37.8191798798062,144.960426777129
Art Gallery/Museum/Library,Art Gallery/Museum,Fire Services Museum Victoria,"-37.8085761281612, 144.975373745366",-37.8085761281612,144.975373745366
Art Gallery/Museum/Library,Art Gallery/Museum,The Ian Potter Museum Of Art,"-37.7973939595503, 144.964156669702",-37.7973939595503,144.964156669702
Art Gallery/Museum/Library,Art Gallery/Museum,Cooks' Cottage,"-37.8144604899837, 144.979471339826",-37.8144604899837,144.979471339826
Art Gallery/Museum/Library,Art Gallery/Museum,Royal Exhibition Building,"-37.80460262432, 144.971521914952",-37.80460262432,144.971521914952
Art Gallery/Museum/Library,Art Gallery/Museum,Australian Centre For The Moving Image (ACMI),"-37.8176107327202, 144.969070431323",-37.8176107327202,144.969070431323
Art Gallery/Museum/Library,Art Gallery/Museum,The Museum Of Australian Chinese History,"-37.8107686127655, 144.96923385414",-37.8107686127655,144.96923385414
