theme,sub_theme,feature_name,coordinates,lat,long
Landmark,Theatre Live,State Theatre,"-37.8212806349773, 144.968469643744",-37.8212806349773,144.968469643744
Landmark,Railway Station,Southern Cross Railway Station,"-37.8181633057171, 144.952944748845",-37.8181633057171,144.952944748845
Landmark,Theatre Live,Princess Theatre,"-37.8107257091302, 144.9723265962",-37.8107257091302,144.9723265962
Landmark,Public Buildings,State Library Victoria,"-37.8099852201226, 144.964330322397",-37.8099852201226,144.964330322397
Landmark,Retail/Office,Treasury Reserve,"-37.8129178793082, 144.975236759799",-37.8129178793082,144.975236759799
Landmark,Office,Old Treasury Building,"-37.8132371662585, 144.974423610255",-37.8132371662585,144.974423610255
Landmark,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),"-37.8194921618419, 144.983402879078",-37.8194921618419,144.983402879078
Landmark,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,"-37.8252455123297, 144.95435243249",-37.8252455123297,144.95435243249
Landmark,Function/Conference/Exhibition Centre,Melbourne Convention Centre,"-37.8249040484653, 144.952288281644",-37.8249040484653,144.952288281644
Landmark,Office,Parliament House,"-37.811246655376, 144.97372641185",-37.811246655376,144.97372641185
Landmark,Public Buildings,Melbourne Town Hall,"-37.8150754791411, 144.966542722283",-37.8150754791411,144.966542722283
Landmark,Office,Former Royal Mint,"-37.8121838748712, 144.957055454136",-37.8121838748712,144.957055454136
Landmark,Public Buildings,Shrine of Remembrance,"-37.8302080020387, 144.973441913623",-37.8302080020387,144.973441913623
Landmark,Railway Station,Flinders Street Railway Station,"-37.8179063007545, 144.967064817875",-37.8179063007545,144.967064817875
Landmark,Tertiary (University),University of Melbourne,"-37.7982892284927, 144.96099520158",-37.7982892284927,144.96099520158
Landmark,Informal Outdoor Facility (Park/Garden/Reserve),Sandridge Rail Bridge,"-37.8201763042794, 144.96298113724",-37.8201763042794,144.96298113724
Landmark,Bridge,Webb Bridge,"-37.8232052384507, 144.947291011905",-37.8232052384507,144.947291011905
Landmark,Dwelling (House),Bishopscourt,"-37.8132921649416, 144.98350690799",-37.8132921649416,144.98350690799
Landmark,Retail/Office/Carpark,ANZ 'Gothic' Bank,"-37.8161580666029, 144.961673719242",-37.8161580666029,144.961673719242
