date,max_temp,min_temp,mean_temp
2021/1/1,27.0,14.3,20.65
2021/1/10,29.3,16.8,23.05
2021/1/11,28.8,15.2,22.0
2021/1/12,22.1,16.7,19.4
2021/1/13,29.9,13.9,21.9
2021/1/14,29.4,16.8,23.1
2021/1/15,29.3,17.4,23.35
2021/1/16,22.1,15.5,18.8
2021/1/17,25.8,16.0,20.9
2021/1/18,26.9,16.8,21.85
2021/1/19,22.6,16.1,19.35
2021/1/2,25.4,16.5,20.95
2021/1/20,22.4,14.9,18.65
2021/1/21,26.7,15.3,21.0
2021/1/22,27.8,16.3,22.05
2021/1/23,24.4,15.4,19.9
2021/1/24,34.2,15.0,24.6
2021/1/25,36.5,18.8,27.65
2021/1/26,23.0,17.8,20.4
2021/1/27,25.6,15.2,20.4
2021/1/28,28.5,14.8,21.65
2021/1/29,30.0,17.2,23.6
2021/1/3,30.8,15.5,23.15
2021/1/30,33.1,17.0,25.05
2021/1/31,28.7,18.4,23.549999999999997
2021/1/4,29.3,17.5,23.4
2021/1/5,19.0,15.3,17.15
2021/1/6,19.8,13.4,16.6
2021/1/7,23.0,14.8,18.9
2021/1/8,24.1,15.4,19.75
2021/1/9,26.8,16.1,21.450000000000003
2021/10/1,20.7,9.1,14.899999999999999
2021/10/10,16.3,10.3,13.3
2021/10/11,16.4,9.5,12.95
2021/10/12,22.4,6.7,14.549999999999999
2021/10/13,19.5,10.0,14.75
2021/10/14,22.9,11.2,17.049999999999997
2021/10/15,20.0,12.0,16.0
2021/10/16,18.2,11.3,14.75
2021/10/17,17.3,10.7,14.0
2021/10/18,18.1,9.5,13.8
2021/10/19,15.7,8.9,12.3
2021/10/2,23.2,11.8,17.5
2021/10/20,18.7,8.6,13.649999999999999
2021/10/21,20.3,11.7,16.0
2021/10/22,21.6,11.6,16.6
2021/10/23,21.2,11.3,16.25
2021/10/24,21.3,11.6,16.45
2021/10/25,17.1,11.8,14.450000000000001
2021/10/26,17.2,8.4,12.8
2021/10/27,21.3,10.3,15.8
2021/10/28,23.6,11.2,17.4
2021/10/29,23.4,10.7,17.049999999999997
2021/10/3,27.0,15.0,21.0
2021/10/30,19.9,11.3,15.6
2021/10/31,23.4,11.7,17.549999999999997
2021/10/4,20.9,12.6,16.75
2021/10/5,18.1,9.4,13.75
2021/10/6,19.7,10.0,14.85
2021/10/7,16.7,10.4,13.55
2021/10/8,17.3,9.3,13.3
2021/10/9,18.8,10.6,14.7
2021/11/1,24.8,13.8,19.3
2021/11/10,21.8,12.9,17.35
2021/11/11,24.8,13.8,19.3
