theme,sub_theme,feature_name,coordinates,lat,long
Retail,Retail,Queen Victoria Market,"-37.8075002018073, 144.957158515056",-37.8075002018073,144.957158515056
Retail,Retail/Office/Carpark,Southgate Arts and Leisure Precinct,"-37.8202245786597, 144.965989052839",-37.8202245786597,144.965989052839
Retail,Retail/Office,DFO South Wharf,"-37.824887401234, 144.949794297819",-37.824887401234,144.949794297819
Retail,Retail/Office,Waterfront City,"-37.815056661803, 144.939136876334",-37.815056661803,144.939136876334
Retail,Current Construction Site,Harbour Town,"-37.8139256326845, 144.938123825625",-37.8139256326845,144.938123825625
Retail,Store Yard,Melbourne Wholesale Fish Market,"-37.8083471006041, 144.930613255612",-37.8083471006041,144.930613255612
Retail,Retail/Office/Carpark,"Melbourne Wholesale Fruit, Vegetable & Flower Market","-37.80687252157, 144.923287444259",-37.80687252157,144.923287444259
Retail,Retail/Office/Carpark,Melbourne Central,"-37.8105371797142, 144.962749729496",-37.8105371797142,144.962749729496
Retail,Retail/Office/Residential/Carpark,QV Village,"-37.8106891897454, 144.965714574014",-37.8106891897454,144.965714574014
Retail,Department Store,Myer,"-37.8135911985281, 144.963855087868",-37.8135911985281,144.963855087868
Retail,Department Store,David Jones,"-37.8133127260638, 144.964373486798",-37.8133127260638,144.964373486798
