
time,"visitor_arrival"
"Aug 2012","104.18"
"Sep 2012","94.08"
"Oct 2012","110.70"
"Nov 2012","125.79"
"Dec 2012","169.90"
"Jan 2013","111.75"
"Feb 2013","146.41"
"Mar 2013","139.93"
"Apr 2013","100.11"
"May 2013","90.68"
"Jun 2013","93.30"
"Jul 2013","109.52"
"Aug 2013","112.65"
"Sep 2013","103.72"
"Oct 2013","112.37"
"Nov 2013","133.04"
"Dec 2013","189.17"
"Jan 2014","132.12"
"Feb 2014","145.94"
"Mar 2014","141.52"
"Apr 2014","116.16"
"May 2014","111.45"
"Jun 2014","101.00"
"Jul 2014","134.70"
"Aug 2014","116.81"
"Sep 2014","110.73"
"Oct 2014","132.11"
"Nov 2014","145.42"
"Dec 2014","195.61"
"Jan 2015","137.52"
"Feb 2015","189.01"
"Mar 2015","172.42"
"Apr 2015","129.15"
"May 2015","114.57"
"Jun 2015","113.94"
"Jul 2015","140.42"
"Aug 2015","129.56"
"Sep 2015","130.30"
"Oct 2015","152.62"
"Nov 2015","169.38"
"Dec 2015","231.93"
"Jan 2016","162.40"
"Feb 2016","209.12"
"Mar 2016","187.65"
"Apr 2016","146.96"
"May 2016","132.47"
"Jun 2016","134.94"
"Jul 2016","168.99"
"Aug 2016","147.17"
"Sep 2016","145.18"
"Oct 2016","169.77"
"Nov 2016","181.35"
"Dec 2016","254.12"
"Jan 2017","190.76"
"Feb 2017","206.91"
"Mar 2017","194.86"
"Apr 2017","171.09"
"May 2017","140.71"
"Jun 2017","148.84"
"Jul 2017","173.80"
"Aug 2017","170.04"
"Sep 2017","151.83"
"Oct 2017","177.21"
"Nov 2017","195.26"
"Dec 2017","263.24"
"Jan 2018","190.96"
"Feb 2018","243.50"
"Mar 2018","222.70"
"Apr 2018","173.78"
"May 2018","153.19"
"Jun 2018","164.97"
"Jul 2018","191.35"
"Aug 2018","183.12"
"Sep 2018","167.31"
"Oct 2018","190.24"
"Nov 2018","215.21"
"Dec 2018","282.61"
"Jan 2019","205.58"
"Feb 2019","259.06"
"Mar 2019","234.43"
"Apr 2019","180.00"
"May 2019","176.51"
"Jun 2019","170.79"
"Jul 2019","201.93"
"Aug 2019","196.97"
"Sep 2019","168.98"
"Oct 2019","195.58"
"Nov 2019","220.34"
"Dec 2019","299.56"
"Jan 2020","218.24"
"Feb 2020","181.50"
"Mar 2020","97.62"
"Apr 2020","0.48"
"May 2020","0.77"
"Jun 2020","1.14"
"Jul 2020","0.31"
"Aug 2020","0.22"
"Sep 2020","0.33"
"Oct 2020","0.64"
"Nov 2020","0.74"
"Dec 2020","1.62"
"Jan 2021","2.04"
"Feb 2021","0.92"
"Mar 2021","1.28"
"Apr 2021","4.03"
"May 2021","5.85"
"Jun 2021","2.49"
"Jul 2021","3.28"
"Aug 2021","1.39"
"Sep 2021","0.72"
"Oct 2021","0.61"
"Nov 2021","6.51"
"Dec 2021","26.34"
"Jan 2022","21.74"
"Feb 2022","29.44"
"Mar 2022","47.66"
"Apr 2022","65.62"
"May 2022","61.66"
"Jun 2022","74.06"
"Jul 2022","81.84"
"Aug 2022","87.33"
